CustomerID,Frequency,Monetary,客户群体,lifecycle_days,active_days,lifecycle_months,avg_order_value,estimated_LTV
12347.0,7,4310.0,冠军客户,365.0,7,12.166666666666666,615.7142857142857,52438.33
12348.0,4,1797.24,潜力客户,283.0,4,9.433333333333334,449.31,16953.96
12349.0,1,1757.55,大额新客户,0.0,1,0.0,1757.55,0.0
12350.0,1,334.4,流失客户,0.0,1,0.0,334.4,0.0
12352.0,8,2506.04,冠军客户,260.0,7,8.666666666666666,313.255,21719.01
12353.0,1,89.0,流失客户,0.0,1,0.0,89.0,0.0
12354.0,1,1079.4,流失客户,0.0,1,0.0,1079.4,0.0
12355.0,1,459.4,流失客户,0.0,1,0.0,459.4,0.0
12356.0,3,2811.43,冠军客户,303.0,3,10.1,937.1433333333333,28395.44
12357.0,1,6207.67,大额新客户,0.0,1,0.0,6207.67,0.0
12358.0,2,1168.06,忠诚客户,149.0,2,4.966666666666667,584.03,5801.36
12359.0,4,6372.58,潜力客户,274.0,4,9.133333333333333,1593.145,58202.9
12360.0,3,2662.06,潜力客户,148.0,3,4.933333333333334,887.3533333333334,13132.83
12361.0,1,189.9,流失客户,0.0,1,0.0,189.9,0.0
12362.0,10,5226.23,冠军客户,292.0,10,9.733333333333333,522.6229999999999,50868.64
12363.0,2,552.0,潜力客户,133.0,2,4.433333333333334,276.0,2447.2
12364.0,4,1313.1,冠军客户,105.0,4,3.5,328.275,4595.85
12365.0,2,641.38,流失客户,0.0,1,0.0,320.69,0.0
12367.0,1,168.9,一般客户,0.0,1,0.0,168.9,0.0
12370.0,4,3545.69,冠军客户,309.0,4,10.3,886.4225,36520.61
12371.0,2,1887.96,忠诚客户,15.0,2,0.5,943.98,943.98
12372.0,3,1298.04,潜力客户,225.0,3,7.5,432.68,9735.3
12373.0,1,364.6,流失客户,0.0,1,0.0,364.6,0.0
12374.0,1,742.93,大额新客户,0.0,1,0.0,742.93,0.0
12375.0,2,457.5,忠诚客户,88.0,2,2.933333333333333,228.75,1342.0
12377.0,2,1628.12,流失客户,39.0,2,1.3,814.06,2116.56
12378.0,1,4008.62,流失客户,0.0,1,0.0,4008.62,0.0
12379.0,2,852.24,潜力客户,89.0,2,2.966666666666667,426.12,2528.31
12380.0,4,2724.81,冠军客户,164.0,4,5.466666666666667,681.2025,14895.63
12381.0,5,1845.31,冠军客户,115.0,5,3.8333333333333335,369.062,7073.69
12383.0,5,1850.56,沉睡客户,168.0,5,5.6,370.11199999999997,10363.14
12384.0,2,585.27,忠诚客户,93.0,2,3.1,292.635,1814.34
12386.0,2,401.9,流失客户,29.0,2,0.9666666666666667,200.95,388.5
12388.0,6,2780.66,冠军客户,311.0,6,10.366666666666667,463.4433333333333,28826.18
12390.0,1,549.84,流失客户,0.0,1,0.0,549.84,0.0
12391.0,1,460.89,一般客户,0.0,1,0.0,460.89,0.0
12393.0,4,1582.6,潜力客户,260.0,4,8.666666666666666,395.65,13715.87
12394.0,2,1272.48,潜力客户,154.0,2,5.133333333333334,636.24,6532.06
12395.0,12,3018.63,冠军客户,352.0,11,11.733333333333333,251.5525,35418.59
12397.0,2,2409.9,忠诚客户,100.0,2,3.3333333333333335,1204.95,8033.0
12398.0,1,1635.66,大额新客户,0.0,1,0.0,1635.66,0.0
12399.0,4,1108.65,潜力客户,142.0,4,4.733333333333333,277.1625,5247.61
12401.0,1,84.3,流失客户,0.0,1,0.0,84.3,0.0
12402.0,1,225.6,流失客户,0.0,1,0.0,225.6,0.0
12403.0,1,427.7,一般客户,0.0,1,0.0,427.7,0.0
12405.0,1,1710.39,流失客户,0.0,1,0.0,1710.39,0.0
12406.0,2,3415.3,忠诚客户,161.0,2,5.366666666666666,1707.65,18328.78
12407.0,5,1708.12,冠军客户,215.0,5,7.166666666666667,341.62399999999997,12241.53
12408.0,5,2888.55,冠军客户,228.0,4,7.6,577.71,21952.98
12409.0,3,11072.67,潜力客户,104.0,3,3.466666666666667,3690.89,38385.26
12410.0,2,693.33,流失客户,0.0,1,0.0,346.665,0.0
12412.0,3,1226.88,潜力客户,95.0,3,3.1666666666666665,408.96000000000004,3885.12
12413.0,3,758.1,潜力客户,271.0,3,9.033333333333333,252.70000000000002,6848.17
12414.0,3,562.41,沉睡客户,93.0,3,3.1,187.47,1743.47
12415.0,21,124914.53,冠军客户,313.0,16,10.433333333333334,5948.310952380953,1303274.93
12417.0,9,3649.1,冠军客户,354.0,9,11.8,405.4555555555555,43059.38
12418.0,1,668.58,流失客户,0.0,1,0.0,668.58,0.0
12420.0,1,600.39,流失客户,0.0,1,0.0,600.39,0.0
12421.0,4,807.04,冠军客户,304.0,4,10.133333333333333,201.76,8178.01
12422.0,3,803.56,潜力客户,229.0,3,7.633333333333334,267.8533333333333,6133.84
12423.0,8,1859.31,冠军客户,353.0,8,11.766666666666667,232.41375,21877.88
12424.0,2,1760.96,流失客户,0.0,1,0.0,880.48,0.0
12425.0,1,777.2,流失客户,0.0,1,0.0,777.2,0.0
12426.0,1,582.73,流失客户,0.0,1,0.0,582.73,0.0
12427.0,3,825.8,冠军客户,350.0,3,11.666666666666666,275.26666666666665,9634.33
12428.0,9,7956.46,冠军客户,258.0,7,8.6,884.0511111111111,68425.56
12429.0,4,3750.4,冠军客户,356.0,4,11.866666666666667,937.6,44504.75
12430.0,1,256.4,一般客户,0.0,1,0.0,256.4,0.0
12431.0,15,6487.45,冠军客户,338.0,14,11.266666666666667,432.49666666666667,73091.94
12432.0,5,5059.32,冠军客户,130.0,3,4.333333333333333,1011.8639999999999,21923.72
12433.0,7,13375.87,冠军客户,373.0,6,12.433333333333334,1910.8385714285716,166306.65
12434.0,2,806.14,潜力客户,176.0,2,5.866666666666666,403.07,4729.35
12435.0,2,7829.89,潜力客户,188.0,2,6.266666666666667,3914.945,49067.31
12436.0,1,509.01,流失客户,0.0,1,0.0,509.01,0.0
12437.0,18,4951.41,冠军客户,330.0,15,11.0,275.0783333333333,54465.51
12438.0,2,2906.85,忠诚客户,126.0,2,4.2,1453.425,12208.77
12441.0,1,173.55,流失客户,0.0,1,0.0,173.55,0.0
12442.0,1,172.06,一般客户,0.0,1,0.0,172.06,0.0
12444.0,5,5005.46,冠军客户,150.0,5,5.0,1001.092,25027.3
12445.0,1,133.4,一般客户,0.0,1,0.0,133.4,0.0
12446.0,1,1002.31,流失客户,0.0,1,0.0,1002.31,0.0
12447.0,1,476.49,流失客户,0.0,1,0.0,476.49,0.0
12448.0,1,449.45,一般客户,0.0,1,0.0,449.45,0.0
12449.0,4,4067.29,冠军客户,165.0,4,5.5,1016.8225,22370.1
12450.0,2,197.88,流失客户,17.0,2,0.5666666666666667,98.94,112.13
12451.0,5,9035.52,冠军客户,314.0,5,10.466666666666667,1807.104,94571.78
12452.0,2,430.57,忠诚客户,0.0,1,0.0,215.285,0.0
12453.0,1,707.09,流失客户,0.0,1,0.0,707.09,0.0
12454.0,1,3528.34,流失客户,0.0,1,0.0,3528.34,0.0
12455.0,6,2466.86,潜力客户,223.0,6,7.433333333333334,411.1433333333334,18336.99
12456.0,3,3181.04,冠军客户,210.0,3,7.0,1060.3466666666666,22267.28
12457.0,7,2363.23,潜力客户,173.0,7,5.766666666666667,337.6042857142857,13627.96
12458.0,2,947.4,潜力客户,213.0,2,7.1,473.7,6726.54
12461.0,2,826.88,潜力客户,60.0,2,2.0,413.44,1653.76
12462.0,2,1189.59,忠诚客户,285.0,2,9.5,594.795,11301.1
12463.0,4,1344.78,潜力客户,188.0,4,6.266666666666667,336.195,8427.29
12464.0,8,1212.05,冠军客户,299.0,7,9.966666666666667,151.50625,12080.1
12465.0,2,742.19,忠诚客户,152.0,2,5.066666666666666,371.095,3760.43
12468.0,2,729.54,流失客户,129.0,2,4.3,364.77,3137.02
12471.0,30,19824.05,冠军客户,362.0,20,12.066666666666666,660.8016666666666,239210.2
12472.0,7,6572.11,冠军客户,337.0,7,11.233333333333333,938.8728571428571,73826.7
12473.0,5,3938.55,冠军客户,162.0,4,5.4,787.71,21268.17
12474.0,18,7375.79,冠军客户,312.0,17,10.4,409.7661111111111,76708.22
12475.0,1,723.38,流失客户,0.0,1,0.0,723.38,0.0
12476.0,11,6816.42,冠军客户,346.0,10,11.533333333333333,619.6745454545454,78616.04
